Company,Sales,Close,High,Low,Open,Unix Epoch Time,Volume,Date
Facebook,166.69,166.69,171.68,128.56,128.99,1546318800,527547900,2019-01-01
Facebook,161.45,161.45,172.47,159.59,165.84,1548997200,302243200,2019-02-01
Facebook,166.69,166.69,174.30,159.28,162.60,1551416400,387936100,2019-03-01
Facebook,193.40,193.40,198.48,167.28,167.83,1554091200,381985300,2019-04-01
Facebook,177.47,177.47,196.18,177.16,194.78,1556683200,286821500,2019-05-01
Facebook,193.00,193.00,198.88,160.84,175.00,1559361600,426428600,2019-06-01
Facebook,194.23,194.23,208.66,191.93,195.21,1561953600,351020900,2019-07-01
Facebook,185.67,185.67,198.47,176.66,194.17,1564632000,294689500,2019-08-01
Facebook,178.08,178.08,193.10,175.66,184.00,1567310400,264538500,2019-09-01
Facebook,191.65,191.65,198.09,173.09,179.15,1569902400,326207200,2019-10-01
Facebook,201.64,201.64,203.80,188.54,192.85,1572580800,258303900,2019-11-01
Facebook,205.25,205.25,208.93,193.17,202.13,1575176400,276257100,2019-12-01
Facebook,201.91,201.91,224.20,201.06,206.75,1577854800,347314600,2020-01-01
Facebook,192.47,192.47,218.77,181.82,203.44,1580533200,317547300,2020-02-01
Facebook,166.80,166.80,197.24,137.10,194.03,1583038800,649467700,2020-03-01
Facebook,204.71,204.71,209.69,150.83,161.62,1585713600,541334600,2020-04-01
Facebook,225.09,225.09,240.90,198.76,201.60,1588305600,509476500,2020-05-01
Facebook,227.07,227.07,245.19,207.11,224.59,1590984000,548043800,2020-06-01
Facebook,253.67,253.67,255.85,226.90,228.50,1593576000,517599700,2020-07-01
Facebook,293.20,293.20,304.67,247.43,252.65,1596254400,574239100,2020-08-01
Facebook,261.90,261.90,303.60,244.13,294.71,1598932800,499115300,2020-09-01
Facebook,263.11,263.11,285.24,254.82,265.35,1601524800,454101600,2020-10-01
Facebook,276.97,276.97,297.38,257.34,264.60,1604203200,356771600,2020-11-01
Facebook,273.16,273.16,291.78,264.63,279.16,1606798800,363901000,2020-12-01
Facebook,258.33,258.33,286.79,244.61,274.78,1609477200,452633100,2021-01-01
Facebook,257.62,257.62,276.60,254.04,259.52,1612155600,317775200,2021-02-01
Facebook,294.53,294.53,299.71,253.50,260.82,1614574800,497416700,2021-03-01
Facebook,325.08,325.08,331.81,296.04,298.40,1617249600,421257700,2021-04-01
Facebook,328.73,328.73,333.78,298.19,326.17,1619841600,353423700,2021-05-01
Facebook,347.71,347.71,358.14,323.48,330.15,1622520000,344810400,2021-06-01
Facebook,356.30,356.30,377.55,334.50,346.82,1625112000,335410800,2021-07-01
Facebook,379.38,379.38,382.76,347.70,358.10,1627790400,226113100,2021-08-01
Facebook,339.39,339.39,384.33,338.15,379.59,1630468800,338109800,2021-09-01
Facebook,323.57,323.57,345.02,308.11,341.61,1633060800,588349400,2021-10-01
Facebook,324.46,324.46,353.83,323.20,326.04,1635739200,441077200,2021-11-01
Facebook,336.35,336.35,352.71,299.50,330.29,1638334800,437900900,2021-12-01
Facebook,331.90,331.90,343.09,315.43,338.30,1641013200,180699700,2022-01-01
Facebook,331.90,331.90,332.73,321.21,321.79,1642194004,16868497,2022-01-14
Google,1116.37,1116.37,1117.33,1014.07,1016.57,1546318800,30714000,2019-01-01
Google,1119.92,1119.92,1147.00,1086.00,1112.40,1548997200,28932700,2019-02-01
Google,1173.31,1173.31,1231.79,1123.30,1124.90,1551416400,31609300,2019-03-01
Google,1188.48,1188.48,1289.27,1175.00,1184.10,1554091200,27855200,2019-04-01
Google,1103.63,1103.63,1190.85,1100.18,1188.05,1556683200,33317400,2019-05-01
Google,1080.91,1080.91,1124.11,1025.00,1065.50,1559361600,34096800,2019-06-01
Google,1216.68,1216.68,1265.55,1093.70,1098.00,1561953600,32948600,2019-07-01
